#midplane of a protoplanetary disk, modelled by Jesse Weder & Christoph Mordasini
#p (bar)        T (K)          d (au)
1.743424e-10	1.746627e+03   5.0948509E-002
2.440441e-05	1.743984e+03   5.1096889E-002
4.831361e-05	1.735319e+03   5.1245701E-002
7.187574e-05	1.733472e+03   5.1394947E-002
9.482386e-05	1.723472e+03   5.1544627E-002
1.172126e-04	1.711557e+03   5.1694743E-002
1.389024e-04	1.695094e+03   5.1845296E-002
1.598840e-04	1.675654e+03   5.1996288E-002
1.801048e-04	1.653235e+03   5.2147719E-002
1.995676e-04	1.628744e+03   5.2299592E-002
2.182818e-04	1.602825e+03   5.2451906E-002
2.362870e-04	1.576299e+03   5.2604665E-002
2.536155e-04	1.549624e+03   5.2757868E-002
2.703169e-04	1.523315e+03   5.2911517E-002
2.864394e-04	1.497725e+03   5.3065614E-002
3.020428e-04	1.473227e+03   5.3220160E-002
3.171620e-04	1.449873e+03   5.3375156E-002
3.318216e-04	1.427616e+03   5.3530603E-002
3.456593e-04	1.403278e+03   5.3686503E-002
3.583593e-04	1.374720e+03   5.3842857E-002
3.695552e-04	1.339907e+03   5.3999666E-002
3.796271e-04	1.302397e+03   5.4156932E-002
3.899444e-04	1.271508e+03   5.4314656E-002
4.008680e-04	1.248525e+03   5.4472840E-002
4.122014e-04	1.231227e+03   5.4631484E-002
4.238682e-04	1.218469e+03   5.4790590E-002
4.357572e-04	1.209111e+03   5.4950159E-002
4.477943e-04	1.202386e+03   5.5110193E-002
4.599103e-04	1.197665e+03   5.5270694E-002
4.720513e-04	1.194477e+03   5.5431661E-002
4.841717e-04	1.192455e+03   5.5593098E-002
4.962358e-04	1.191321e+03   5.5755004E-002
5.082155e-04	1.190863e+03   5.5917383E-002
5.200863e-04	1.190909e+03   5.6080234E-002
5.318315e-04	1.191340e+03   5.6243559E-002
5.434357e-04	1.192052e+03   5.6407360E-002
5.548885e-04	1.192974e+03   5.6571638E-002
5.661813e-04	1.194047e+03   5.6736394E-002
5.773085e-04	1.195230e+03   5.6901631E-002
5.882647e-04	1.196487e+03   5.7067348E-002
5.990468e-04	1.197794e+03   5.7233548E-002
6.096526e-04	1.199131e+03   5.7400233E-002
6.200807e-04	1.200482e+03   5.7567402E-002
6.303303e-04	1.201837e+03   5.7735059E-002
6.404012e-04	1.203187e+03   5.7903204E-002
6.502936e-04	1.204527e+03   5.8071838E-002
6.600082e-04	1.205850e+03   5.8240964E-002
6.695457e-04	1.207154e+03   5.8410582E-002
6.789071e-04	1.208437e+03   5.8580694E-002
6.880938e-04	1.209696e+03   5.8751301E-002
6.971069e-04	1.210931e+03   5.8922406E-002
7.059480e-04	1.212140e+03   5.9094009E-002
7.146185e-04	1.213323e+03   5.9266111E-002
7.231200e-04	1.214481e+03   5.9438715E-002
7.314542e-04	1.215612e+03   5.9611821E-002
7.396226e-04	1.216718e+03   5.9785432E-002
7.476269e-04	1.217798e+03   5.9959548E-002
7.554689e-04	1.218852e+03   6.0134171E-002
7.631503e-04	1.219882e+03   6.0309303E-002
7.706726e-04	1.220887e+03   6.0484945E-002
7.780378e-04	1.221868e+03   6.0661098E-002
7.852474e-04	1.222826e+03   6.0837765E-002
7.923032e-04	1.223760e+03   6.1014946E-002
7.992069e-04	1.224671e+03   6.1192643E-002
8.059603e-04	1.225560e+03   6.1370857E-002
8.125650e-04	1.226428e+03   6.1549591E-002
8.190227e-04	1.227274e+03   6.1728845E-002
8.253355e-04	1.228100e+03   6.1908621E-002
8.315048e-04	1.228906e+03   6.2088920E-002
8.375325e-04	1.229693e+03   6.2269745E-002
8.434202e-04	1.230460e+03   6.2451097E-002
8.491695e-04	1.231209e+03   6.2632976E-002
8.547819e-04	1.231940e+03   6.2815385E-002
8.602593e-04	1.232653e+03   6.2998326E-002
8.656031e-04	1.233348e+03   6.3181799E-002
8.708150e-04	1.234026e+03   6.3365807E-002
8.758966e-04	1.234687e+03   6.3550350E-002
8.808494e-04	1.235332e+03   6.3735431E-002
8.856751e-04	1.235961e+03   6.3921051E-002
8.903752e-04	1.236573e+03   6.4107212E-002
8.949512e-04	1.237171e+03   6.4293914E-002
8.994048e-04	1.237753e+03   6.4481161E-002
9.037374e-04	1.238320e+03   6.4668953E-002
9.079504e-04	1.238872e+03   6.4857291E-002
9.120455e-04	1.239410e+03   6.5046179E-002
9.160241e-04	1.239935e+03   6.5235616E-002
9.198878e-04	1.240445e+03   6.5425605E-002
9.236379e-04	1.240942e+03   6.5616147E-002
9.272759e-04	1.241426e+03   6.5807244E-002
9.308033e-04	1.241897e+03   6.5998898E-002
9.342215e-04	1.242355e+03   6.6191110E-002
9.375319e-04	1.242801e+03   6.6383882E-002
9.407359e-04	1.243235e+03   6.6577215E-002
9.438348e-04	1.243656e+03   6.6771111E-002
9.468302e-04	1.244066e+03   6.6965572E-002
9.497232e-04	1.244464e+03   6.7160600E-002
9.525153e-04	1.244851e+03   6.7356195E-002
9.552078e-04	1.245227e+03   6.7552360E-002
9.578020e-04	1.245592e+03   6.7749096E-002
9.602993e-04	1.245946e+03   6.7946405E-002
9.627009e-04	1.246290e+03   6.8144289E-002
9.650049e-04	1.246615e+03   6.8342749E-002
9.672176e-04	1.246935e+03   6.8541787E-002
9.693380e-04	1.247243e+03   6.8741405E-002
9.713682e-04	1.247543e+03   6.8941604E-002
9.733091e-04	1.247833e+03   6.9142386E-002
9.751619e-04	1.248114e+03   6.9343753E-002
9.769278e-04	1.248386e+03   6.9545706E-002
9.786080e-04	1.248648e+03   6.9748248E-002
