#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
73        	1         	4         	ok              	ok              	1.9140210000e-10	1.2024980000e+03	1.9550945739e+09	1.1528654195e+09	2.3181549781e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	1         	4         	ok              	ok              	1.7073500000e-10	1.1825590000e+03	1.7767239112e+09	1.0457214541e+09	2.3225081044e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	1         	4         	ok              	ok              	1.5522440000e-10	1.1651110000e+03	1.6415828765e+09	9.6495922923e+08	2.3254508143e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	1         	4         	ok              	ok              	1.4384220000e-10	1.1526500000e+03	1.5387477117e+09	9.0386826627e+08	2.3271029144e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	1         	4         	ok              	ok              	1.3077470000e-10	1.1352020000e+03	1.4216078364e+09	8.3438571802e+08	2.3289826652e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	1         	4         	ok              	ok              	1.2351270000e-10	1.1252330000e+03	1.3550585192e+09	7.9503350623e+08	2.3298390911e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	1         	4         	ok              	ok              	1.1665390000e-10	1.1152630000e+03	1.2916556537e+09	7.5759699866e+08	2.3305681806e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	1         	4         	ok              	ok              	1.0604970000e-10	1.0953190000e+03	1.1962185359e+09	7.0126974101e+08	2.3317325563e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	1         	4         	ok              	ok              	9.6415460000e-11	1.0778710000e+03	1.1054920648e+09	6.4788237734e+08	2.3324523006e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	1         	4         	ok              	ok              	8.9339930000e-11	1.0629150000e+03	1.0389844587e+09	6.0878416688e+08	2.3329155121e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	1         	5         	ok              	ok              	8.1218610000e-11	1.0429710000e+03	9.6278326084e+08	5.6402661347e+08	2.3333626583e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	1         	5         	ok              	ok              	7.6703650000e-11	1.0305060000e+03	9.2034022520e+08	5.3911545597e+08	2.3335651495e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	1         	5         	ok              	ok              	7.2439680000e-11	1.0180400000e+03	8.7988054868e+08	5.1538047071e+08	2.3337217190e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	1         	5         	ok              	ok              	6.9731010000e-11	1.0105620000e+03	8.5327499583e+08	4.9978045617e+08	2.3337969025e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	1         	5         	ok              	ok              	6.5854650000e-11	9.9809640000e+02	8.1594153626e+08	4.7789252083e+08	2.3338993167e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	1         	5         	ok              	ok              	6.4613740000e-11	9.9560510000e+02	8.0257546329e+08	4.7006080945e+08	2.3339155780e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	1         	5         	ok              	ok              	5.8736420000e-11	9.7316550000e+02	7.4643367326e+08	4.3715660583e+08	2.3340356559e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	1         	5         	ok              	ok              	5.5467750000e-11	9.5820430000e+02	7.1591677383e+08	4.1927475222e+08	2.3340875133e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	1         	5         	ok              	ok              	5.2387590000e-11	9.4823470000e+02	6.8327774873e+08	4.0015555750e+08	2.3341122242e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	1         	5         	ok              	ok              	4.7628380000e-11	9.3078670000e+02	6.3285792817e+08	3.7062261661e+08	2.3341438367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	1         	5         	ok              	ok              	4.4133130000e-11	9.1583000000e+02	5.9599674697e+08	3.4903271921e+08	2.3341623310e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	1         	5         	ok              	ok              	3.9365260000e-11	8.9339500000e+02	5.4496294367e+08	3.1914341184e+08	2.3341802812e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	1         	6         	ok              	ok              	3.7176930000e-11	8.8092960000e+02	5.2195244609e+08	3.0566703040e+08	2.3341870182e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	1         	6         	ok              	ok              	3.2535720000e-11	8.5600330000e+02	4.7009462228e+08	2.7529686126e+08	2.3341960692e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	1         	6         	ok              	ok              	2.6892740000e-11	8.2110740000e+02	4.0507624251e+08	2.3722003407e+08	2.3342035189e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	1         	6         	ok              	ok              	2.4449640000e-11	8.0365950000e+02	3.7627253504e+08	2.2035183069e+08	2.3342059244e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	1         	6         	ok              	ok              	2.1809630000e-11	7.8372030000e+02	3.4418322749e+08	2.0155959578e+08	2.3342079003e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	1         	6         	ok              	ok              	1.9454680000e-11	7.6378110000e+02	3.1503436739e+08	1.8448941818e+08	2.3342092367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	1         	6         	ok              	ok              	1.7352910000e-11	7.4134610000e+02	2.8950378070e+08	1.6953820631e+08	2.3342102192e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	1         	6         	ok              	ok              	1.5481140000e-11	7.2639850000e+02	2.6359126887e+08	1.5436337888e+08	2.3342106963e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	1         	6         	ok              	ok              	1.3809530000e-11	7.0645930000e+02	2.4176583245e+08	1.4158199518e+08	2.3342115115e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	1         	6         	ok              	ok              	1.1858540000e-11	6.8153760000e+02	2.1520134718e+08	1.2602528237e+08	2.3342137175e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	1         	6         	ok              	ok              	1.0578760000e-11	6.6409420000e+02	1.9701945165e+08	1.1537756102e+08	2.3342161117e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	1         	6         	ok              	ok              	9.4370830000e-12	6.4665080000e+02	1.8049797067e+08	1.0570225014e+08	2.3342179354e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	1         	6         	ok              	ok              	8.1043430000e-12	6.2422500000e+02	1.6057620799e+08	9.4035736920e+07	2.3342188736e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	1         	6         	ok              	ok              	6.9602570000e-12	6.0429490000e+02	1.4245606991e+08	8.3424310077e+07	2.3342192482e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	1         	7         	ok              	ok              	6.2090970000e-12	5.8685150000e+02	1.3085941383e+08	7.6633119110e+07	2.3342199513e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	1         	7         	ok              	ok              	5.5393530000e-12	5.7190400000e+02	1.1979564772e+08	7.0153959009e+07	2.3342220321e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	1         	7         	ok              	ok              	4.8487300000e-12	5.5446520000e+02	1.0815847355e+08	6.3338822380e+07	2.3342312176e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	1         	7         	ok              	ok              	4.2444800000e-12	5.3952220000e+02	9.7303006445e+07	5.6981181353e+07	2.3342540430e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	1         	9         	ok              	ok              	3.8593720000e-12	5.2706590000e+02	9.0566766896e+07	5.3035662640e+07	2.3342865778e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	1         	10        	ok              	ok              	3.3784150000e-12	5.1212290000e+02	8.1595000397e+07	4.7780982696e+07	2.3343274725e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	1         	10        	ok              	ok              	3.1308820000e-12	5.0215790000e+02	7.7117959658e+07	4.5158829564e+07	2.3343510323e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	1         	16        	ok              	ok              	2.7407110000e-12	4.8721490000e+02	6.9579102765e+07	4.0743558616e+07	2.3343887231e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	1         	30        	ok              	ok              	2.3539540000e-12	4.6978070000e+02	6.1979621351e+07	3.6292683223e+07	2.3344423428e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	1         	25        	ok              	ok              	2.0606030000e-12	4.5483770000e+02	5.6039073621e+07	3.2813620419e+07	2.3344797155e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	1         	93        	ok              	ok              	1.7699320000e-12	4.3989930000e+02	4.9769112180e+07	2.9142015666e+07	2.3344987810e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120       	1         	114       	ok              	ok              	1.4361140000e-12	4.2247870000e+02	4.2047654853e+07	2.4620698776e+07	2.3345046424e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
121       	1         	119       	ok              	ok              	1.2572250000e-12	4.1003160000e+02	3.7927440249e+07	2.2208128284e+07	2.3345055671e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
122       	1         	121       	ok              	ok              	1.1432990000e-12	4.0256690000e+02	3.5130122625e+07	2.0570177407e+07	2.3345058609e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
123       	1         	125       	ok              	ok              	1.0009470000e-12	3.9261560000e+02	3.1535630930e+07	1.8465446247e+07	2.3345063333e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
124       	1         	128       	ok              	ok              	8.9314880000e-13	3.8515550000e+02	2.8684406349e+07	1.6795927528e+07	2.3345071878e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
